Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Oxidative Phosphorylation,-0.2751751252709567,-1.079220743502002,0.2261904761904762,0.9652516766158155,0.986,90/197,37.51%,MTX2;MRPL34;NDUFA9;NDUFAB1;NDUFA5;FDX1;COX6A1;NDUFA7;COX10;LDHB;SLC25A20;TIMM9;POR;COX11;CASP7;UQCRQ;ATP5ME;SDHD;GOT2;FXN;COX5A;DLAT;ATP5PF;MRPS30;ATP5MG;ACAT1;VDAC1;ATP5F1E;ATP6V1C1;IDH3A;COX6C;MPC1;MRPL15;COX5B;UQCRFS1;NDUFB3;NDUFB8;NDUFC2;DLST;SUPV3L1;SUCLG1;ISCA1;ATP6V0E1;FH;COX7A2;OPA1;PDP1;NDUFA3;SLC25A11;NDUFS4;GLUD1;HCCS;ATP6V1E1;HSPA9;PDHB;LRPPRC;ACAA2;UQCRB;VDAC2;RHOT1;HTRA2;CYCS;SDHB;MRPL35;TIMM17A;PMPCA;LDHA;ECH1;ATP6V1G1;SLC25A3;MTRR;SLC25A12;COX7C;COX8A;COX7B;ATP5F1A;NDUFA4;ATP5PB;CYB5A;NDUFB5;NDUFS6;ATP5F1C;MDH1;IDH1;SLC25A5;TOMM70;DLD;NDUFS1;COX17;UQCRH
prerank,Myogenesis,0.30251656633203794,1.0610249969400887,0.3323076923076923,1.0,1.0,47/128,23.58%,DENND2B;FABP3;COL6A3;ADAM12;MYBPC3;PPFIA4;TNNT3;PC;TPD52L1;TNNI2;PGAM2;ADCY9;CTF1;TEAD4;SCHIP1;CKM;SPEG;MYOM2;COL6A2;TSC2;VIPR1;MYH3;FOXO4;CRAT;CAMK2B;TGFB1;AGRN;MRAS;GAA;PLXNB2;HBEGF;SVIL;SORBS3;GADD45B;KCNH2;MYL6B;PTP4A3;NOTCH1;BIN1;SH2B1;MYOM1;TPM2;CD36;MYH9;SIRT2;APP;HDAC5
prerank,KRAS Signaling Dn,-0.29811892530014367,-1.0512863469585139,0.32044198895027626,1.0,0.999,11/96,5.00%,EGF;SYNPO;TEX15;RGS11;YBX2;FGF16;SKIL;COPZ2;THRB;TFCP2L1;IFI44L
prerank,Inflammatory Response,0.28628175769077624,1.0297006755491738,0.3805970149253731,1.0,1.0,32/154,19.71%,CMKLR1;IL1A;SLC7A2;GP1BA;F3;ICOSLG;CCL24;IL1R1;ABCA1;SLC4A4;CD40;RGS16;IL15RA;LPAR1;ADGRE1;P2RY2;RASGRP1;ADM;IL7R;IL10RA;P2RX7;PDE4B;KLF6;INHBA;ICAM4;HBEGF;SCARF1;EREG;TNFSF9;FPR1;BEST1;LCK
prerank,TNF-alpha Signaling via NF-kB,-0.2612092995696556,-1.0197595779333002,0.38529411764705884,1.0,0.999,35/182,15.71%,SERPINE1;FJX1;SLC2A6;ZBTB10;DUSP4;PTGS2;TNFRSF9;RHOB;ICAM1;CLCF1;GEM;MSC;BCL2A1;HES1;DUSP2;CEBPB;DNAJB4;BHLHE40;NR4A3;EGR2;BTG3;NFKB2;ID2;CXCL2;NFKBIE;RCAN1;NINJ1;TIPARP;PANX1;CCRL2;JAG1;CCL5;EGR1;DUSP5;NFKBIA
prerank,Estrogen Response Late,0.2798565194546665,0.9899125315245979,0.49056603773584906,1.0,1.0,15/144,11.00%,CACNA2D2;IL17RB;CAV1;RNASEH2A;ANXA9;RET;CDH1;TPD52L1;PRSS23;SEMA3B;SCNN1A;AREG;OPN3;ACOX2;PERP
prerank,Allograft Rejection,0.2705030497162549,0.9684134210875371,0.532448377581121,1.0,1.0,51/163,27.62%,IGSF6;CXCR3;CFP;CCR2;ICOSLG;CD40;TRAT1;ITK;PSMB10;IL12RB1;CDKN2A;CD2;CCR5;ZAP70;GBP2;LY86;IRF4;IL2RA;ELANE;SPI1;TGFB1;PRF1;INHBA;FLNA;EREG;CSK;LCK;ITGB2;IRF7;PTPN6;GZMA;LY75;IL12A;DYRK3;CD86;RPS9;HCLS1;HLA-DOA;BCL3;BCL10;THY1;MAP4K1;HLA-DOB;WAS;ACVR2A;IFNAR2;FGR;TLR6;CSF1;HLA-E;TLR2
prerank,Xenobiotic Metabolism,0.26029728525540646,0.9219310852690034,0.6309148264984227,1.0,1.0,37/146,23.56%,ALDH3A1;RAP1GAP;FMO1;MPP2;PC;LCAT;IL1R1;ASL;EPHX1;APOE;SERTAD1;DHRS1;PSMB10;ACOX2;SLC12A4;GNMT;CASP6;ESR1;PDLIM5;SLC6A6;BLVRB;ITIH4;FBLN1;ENTPD5;IGFBP4;ACP2;BPHL;ALDH2;NFS1;LEAP2;ACSM1;PINK1;ENPEP;AKR1C2;CD36;CAT;CSAD
prerank,Androgen Response,-0.2615801105096819,-0.9184053998294319,0.6470588235294118,1.0,1.0,41/90,32.87%,ZBTB10;ADAMTS1;ANKH;ABCC4;SRP19;KRT8;IDI1;SELENOP;ELL2;PGM3;NGLY1;KRT19;SMS;UBE2J1;CENPN;SLC38A2;HMGCS1;SPCS3;MAK;HPGD;UAP1;RAB4A;VAPA;LMAN1;ARID5B;MYL12A;INSIG1;PA2G4;GUCY1A1;ELK4;SAT1;DHCR24;TPD52;XRCC5;PMEPA1;SCD;INPP4B;HMGCR;CCND1;DBI;GNAI3
prerank,Bile Acid Metabolism,0.27978025353204133,0.907575581718171,0.6198630136986302,1.0,1.0,15/80,15.04%,ABCA6;HSD17B6;SLC22A18;ABCA1;CYP7B1;HSD3B7;EPHX2;MLYCD;LIPE;BCAR3;ABCA2;FDXR;PEX11G;NUDT12;GNMT
prerank,mTORC1 Signaling,-0.22825832830613252,-0.902287901508138,0.7852941176470588,1.0,1.0,79/196,33.44%,ME1;CTH;BHLHE40;HSPE1;AURKA;TBK1;RAB1A;IDI1;HK2;IFRD1;LGMN;POLR3G;CACYBP;EEF1E1;PSMC6;TRIB3;PNO1;HPRT1;MLLT11;UNG;EBP;P4HA1;SC5D;PLOD2;PSMA3;CCNG1;GSK3B;ACACA;PSMA4;UBE2D3;PSAT1;HMGCS1;MTHFD2;TMEM97;HSPA5;HSPA4;RRM2;PITPNB;SQLE;PIK3R3;PRDX1;RRP9;TES;SERP1;USO1;PPA1;ETF1;PSMD12;INSIG1;ERO1A;TFRC;TCEA1;SLC7A11;WARS1;SLC1A5;NUFIP1;SEC11A;HSPD1;HSPA9;BUB1;HSP90B1;BCAT1;DHCR24;GMPS;PSMG1;XBP1;DHFR;SCD;PSMD13;LDHA;CCT6A;GCLC;HMGCR;NUP205;SYTL2;NAMPT;EIF2S2;ARPC5L;PSMC2
prerank,Fatty Acid Metabolism,0.251527322166742,0.8830885327665657,0.714975845410628,1.0,1.0,35/136,27.49%,ALDH3A1;FMO1;ALDOA;MIF;LTC4S;EPHX1;MLYCD;CEL;NTHL1;RDH16;CRAT;REEP6;GCDH;SDHC;ACOT8;AUH;ECI1;SDHA;BPHL;CPT2;FASN;D2HGDH;SLC22A5;HSD17B10;CD36;PPARA;ECI2;HMGCL;ACOT2;UGDH;CCDC58;RETSAT;IDH3B;GLUL;MCEE
prerank,IL-6/JAK/STAT3 Signaling,-0.2580523652766499,-0.8809055258758985,0.7072538860103627,1.0,1.0,11/70,14.21%,DNTT;IL7;EBI3;IL13RA1;IL10RB;TNFRSF12A;SOCS1;LEPR;CD38;PF4;IRF9
prerank,Pperoxisome,-0.24422333070973593,-0.855192935838215,0.7746113989637305,1.0,1.0,22/89,24.16%,CRABP2;NR1I2;ALB;DHRS3;CRABP1;SLC25A17;IDI1;ABCB1;SLC27A2;CDK7;ABCD3;ISOC1;ABCB4;YWHAH;CNBP;IDE;PRDX1;HSD17B4;SOD1;MSH2;ACSL4;EHHADH
prerank,Apical Surface,-0.2995382359550097,-0.8531686276550186,0.6988235294117647,1.0,1.0,4/29,7.88%,SLC2A4;SRPX;GATA3;GSTM3
prerank,Angiogenesis,-0.3089966967384359,-0.8236569990183998,0.7425287356321839,1.0,1.0,5/22,14.54%,LPL;SPP1;PF4;JAG1;PDGFA
prerank,PI3K/AKT/mTOR  Signaling,-0.23182298165054763,-0.8226085091075162,0.8663101604278075,1.0,1.0,32/91,33.28%,NCK1;CSNK2B;TBK1;MAPK9;THEM4;TRIB3;UBE2N;GNA14;GSK3B;ACACA;UBE2D3;PLA2G12A;RAC1;ATF1;PIK3R3;CAB39L;PIN1;TRAF2;PTEN;RIPK1;MAP2K6;EIF4E;HSP90B1;CDK1;PRKCB;CAB39;PPP2R1B;VAV3;NOD1;ARPC3;MAP3K7;PFN1
prerank,Hypoxia,-0.2155404886744063,-0.8202563893928838,0.9376854599406528,1.0,1.0,27/160,17.94%,SERPINE1;CCN2;PKLR;SRPX;PYGM;FBP1;DTNA;TGM2;LARGE1;SDC2;HS3ST1;KDELR3;ADORA2B;BHLHE40;GCNT2;CHST3;HK2;TIPARP;CDKN1C;NOCT;SLC2A5;ZNF292;AMPD3;RRAGD;P4HA1;MAFF;NR3C1
prerank,Glycolysis,0.2236689036770623,0.8005925282460122,0.9078751857355126,1.0,1.0,25/167,17.31%,ANG;ALDOA;PPFIA4;LCT;SDC3;PC;PGAM2;MIF;SPAG4;NOL3;EGLN3;SDC1;CAPN5;SLC25A10;B4GALT2;EXT1;P4HA2;NT5E;G6PD;COL5A1;CASP6;AGRN;SLC16A3;SDHC;RBCK1
prerank,Cholesterol Homeostasis,-0.24194985056659674,-0.7983850647497682,0.8686868686868687,1.0,1.0,20/66,23.00%,LPL;CXCL16;TNFRSF12A;CHKA;IDI1;NSDHL;CBS;LGMN;JAG1;FBXO6;TRIB3;CPEB2;EBP;SC5D;HMGCS1;PDK3;TMEM97;SQLE;S100A11;GNAI1
prerank,Coagulation,0.24116975399723942,0.7894909574391707,0.8686371100164204,1.0,1.0,10/85,10.47%,ANG;GP1BA;F3;TF;PRSS23;MMP11;RAPGEF3;CRIP2;CAPN5;ACOX2
prerank,UV Response Dn,-0.21284159432544836,-0.7795419040017991,0.9206349206349206,1.0,1.0,40/122,27.83%,ADGRL2;SERPINE1;MAP1B;MMP16;KALRN;FZD2;SDC2;COL1A2;ADORA2B;ID1;BHLHE40;FBLN5;PRKAR2B;SCAF8;PLCB4;TOGARAM1;PIAS3;NR3C1;NFIB;NR1D2;NEK7;TFPI;BCKDHB;DYRK1A;PIK3R3;CDC42BPA;LAMC1;CDK13;DMAC2L;PTEN;SIPA1L1;INSIG1;SYNJ2;AGGF1;TENT4A;ANXA2;PRKCE;DBP;SFMBT1;MAPK14
prerank,Interferon Alpha Response,-0.21614885693050592,-0.7663711752440945,0.9466666666666667,1.0,1.0,27/94,27.98%,IL7;IFI27;IFI44L;ISG15;LAMP3;C1S;NCOA7;SAMD9;PROCR;IRF9;CCRL2;OAS1;TRIM5;SAMD9L;PSMA3;PNPT1;CASP1;MX1;ISG20;CMPK2;PSME2;WARS1;RSAD2;PARP9;NMI;RIPK2;SLC25A28
prerank,IL-2/STAT5 Signaling,-0.1897033107279349,-0.7443203973432507,0.9970059880239521,1.0,1.0,42/176,24.20%,DHRS3;MUC1;TGM2;TNFRSF9;RHOB;SH3BGRL2;MYO1E;EEF1AKMT1;CCR4;SCN9A;SPP1;ARL4A;BHLHE40;SPRY4;GUCY1B1;SOCS1;HK2;ABCB1;IRF6;CDKN1C;SNX14;SOCS2;RRAGD;TTC39B;S100A1;IKZF2;P4HA1;SLC39A8;MAFF;UMPS;HOPX;PHTF2;TNFRSF18;LRRC8C;CDC6;PRNP;RORA;GSTO1;IL18R1;HIPK2;IL1R2;COL6A1
prerank,TGF-beta Signaling,-0.231405137133535,-0.7309715092088603,0.916030534351145,1.0,1.0,8/51,13.99%,SERPINE1;SKIL;SMAD6;ID1;WWTR1;ID2;SLC20A1;CDKN1C
prerank,p53 Pathway,0.19889166055408825,0.7271186295160865,0.9908396946564886,1.0,1.0,54/182,30.32%,IL1A;TAX1BP3;TPD52L1;RGS16;SDC1;IFI30;ABAT;JAG2;EPHX1;CDKN2A;PERP;EPS8L2;FDXR;CDK5R1;TM4SF1;RRAD;TGFB1;HSPA4L;PLXNB2;NDRG1;HBEGF;TNFSF9;H2AW;SLC19A2;PLK2;ST14;DEF6;NOTCH1;ERCC5;BAIAP2;XPC;MXD4;APP;ABCC5;ANKRA2;DGKA;GM2A;POLH;CCP110;AEN;COQ8A;TRAF4;RETSAT;HMOX1;RXRA;PHLDA3;PIDD1;GADD45A;CTSD;BAK1;PPP1R15A;WRAP73;RAD9A;H2AJ
prerank,Mitotic Spindle,-0.1837458490096394,-0.721222197900661,1.0,1.0,1.0,54/196,29.16%,ARHGAP29;SYNPO;BCAR1;MYO1E;FGD4;TTK;NCK1;AURKA;CD2AP;CENPE;RAPGEF5;TUBD1;CDC42EP4;PIF1;BRCA2;DLGAP5;CTTN;TLK1;KIF3C;KNTC1;ARHGEF7;CDC27;MARCKS;SMC3;WASL;SMC1A;CDC42BPA;PRC1;BCL2L11;KIFAP3;PPP4R2;CCNB2;PCGF5;RFC1;SMC4;ITSN1;KIF11;ARL8A;FARP1;BIRC5;FBXO5;PCM1;KIF20B;STAU1;TOP2A;DOCK4;SOS1;BUB1;LRPPRC;ANLN;CDK1;YWHAE;ALS2;RACGAP1
prerank,Interferon Gamma Response,0.19302079998328575,0.6988786900380312,0.9883040935672515,1.0,1.0,33/186,22.02%,ZBP1;USP18;CMKLR1;GPR18;CD40;IL15RA;METTL7B;PSMA2;IFI30;SECTM1;SELP;MVP;PSMB10;GBP4;IL10RA;IRF4;IL18BP;PDE4B;OGFR;RBCK1;IFIT2;P2RY14;FPR1;DHX58;CIITA;IFI35;TRIM21;IFIH1;IRF7;PTPN6;STAT2;GZMA;ITGB7
prerank,Reactive Oxygen Species Pathway,0.21497545827659087,0.6410066660622801,0.9651162790697675,1.0,1.0,12/47,24.88%,SBNO2;FES;G6PD;TXNRD2;PTPA;HMOX2;ERCC2;JUNB;MPO;IPCEF1;CAT;PRDX2
prerank,Complement,-0.16965234863554246,-0.6389224875871251,1.0,1.0,1.0,23/155,15.40%,SERPINE1;KCNIP3;F8;GATA3;ME1;CEBPB;L3MBTL4;CFH;HSPA1A;FDX1;C1S;GMFB;CD59;LGMN;CALM1;CCL5;PLA2G4A;SH2B3;CTSV;MMP15;DUSP5;PIK3CA;CASP7
prerank,Apical Junction,0.1812301190564217,0.6382237692916999,0.9984399375975039,1.0,1.0,37/144,24.49%,IRS1;CDH1;SDC3;IKBKG;TRAF1;SPEG;AMIGO1;ACTN1;CLDN15;NEXN;CRAT;THBS3;ICAM4;ZYX;EVL;VAV2;SORBS3;AMH;ADAM9;KCNH2;ICAM5;ATP1A3;ITGA3;MYL9;PBX2;MAP4K2;STX4;BAIAP2;ACTN4;CD86;CNN2;MYH9;MMP2;VCAN;CERCAM;THY1;MAP3K20
prerank,KRAS Signaling Up,0.18225417917435835,0.6327546438075949,1.0,1.0,1.0,25/138,20.45%,TMEM176A;CMKLR1;RETN;NRP1;FLT4;SEMA3B;TRAF1;RGS16;MAFB;MMP11;KIF5C;IL7R;IL10RA;ADAM8;TLR8;MAP7;PRKG2;INHBA;HBEGF;ETV4;EREG;ADGRA2;ITGB2;TRIB2;CD37
prerank,UV Response Up,-0.16392163044663643,-0.6114743103158731,1.0,1.0,1.0,21/137,18.75%,SLC6A8;RHOB;ICAM1;GAL;BTG3;AQP3;PLCL1;CXCL2;CHKA;ABCB1;BID;EPCAM;CDKN1C;PPAT;PPP1R2;CTSV;NFKBIA;CREG1;NPTX2;ATP6V1C1;GGH
prerank,Apoptosis,0.17283870921601768,0.6070330323980692,0.9984544049459042,1.0,1.0,34/147,27.17%,CAV1;IL1A;LGALS3;GUCY2D;CD2;NEFH;H1-0;RHOT2;BCL2L2;FDXR;ERBB2;CASP6;PPP2R5B;PMAIP1;PRF1;CCNA1;EREG;SMAD7;CYLD;GADD45B;DIABLO;RNASEL;LMNA;APP;CFLAR;MMP2;CLU;BCL10;BIK;RETSAT;BMF;HMOX1;GSN;AIFM3
prerank,DNA Repair,-0.15632324403700415,-0.6047585031742166,1.0,1.0,1.0,35/147,27.39%,AK1;POLB;TAF13;BCAM;POLR2K;NPR2;ERCC4;RPA3;TAF10;MPC2;HPRT1;RRM2B;NT5C3A;ARL6IP1;PDE6G;UMPS;ZNRD1;CANT1;TARBP2;MRPL40;TAF12;NT5C;PCNA;CMPK2;EIF1B;RFC4;SRSF6;RALA;POLR3C;TMED2;TYMS;POLD3;TAF9;NUDT21;POLR2H
prerank,Protein Secretion,-0.17316684004283486,-0.5977244775454704,0.9973958333333334,1.0,1.0,40/89,38.97%,SGMS1;RAB14;RAB2A;RAB5A;BNIP3;TMX1;AP1G1;TMED10;USO1;SOD1;GOLGA4;AP3S1;LMAN1;NAPG;TMED2;ADAM10;SCRN1;TPD52;CLN5;DNM1L;TSG101;RAB22A;ATP7A;COPB2;COPB1;SNX2;ICA1;VAMP4;MON2;ARFGEF2;ARFGAP3;YIPF6;ARFGEF1;CTSC;ARCN1;CLTA;AP2S1;DST;ATP1A1;CLTC
prerank,Wnt-beta Catenin Signaling,0.2104771427591794,0.5900437667659134,0.9839857651245552,0.9961822181959363,1.0,10/34,23.58%,TCF7;JAG2;FRAT1;HDAC11;DVL2;NCOR2;NOTCH1;SKP2;AXIN1;HDAC5
prerank,heme Metabolism,-0.14486459084926764,-0.5647792554174569,1.0,1.0,1.0,40/182,26.05%,SLC6A8;H4C3;CLIC2;SLC6A9;MYL4;ENDOD1;AGPAT4;BCAM;PDZK1IP1;AQP3;SLC4A1;ELL2;TMCC2;CDR2;SLC10A3;CCDC28A;RHAG;SPTA1;SLC22A4;SLC30A1;NR3C1;TNRC6B;KAT2B;SNCA;CDC27;NEK7;MARK3;TMEM9B;MXI1;TRIM58;RANBP10;FBXO9;ISCA1;GDE1;LPIN2;MFHAS1;TFRC;TCEA1;TAL1;SLC7A11
prerank,Adipogenesis,-0.13686500633074394,-0.5306856734901385,1.0,0.9989498120716339,1.0,25/177,20.54%,MTARC2;LPL;FZD4;COL15A1;ME1;NDUFAB1;ARL4A;PHLDB1;NDUFA5;JAGN1;SLC66A3;COX6A1;NKIRAS1;CHCHD10;POR;UQCRQ;DLAT;MTCH2;ATP1B3;IDH3A;PREB;UBQLN1;MRPL15;DNAJC15;RNF11
