,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,converged
WASH7P,63.23067138424918,0.24539047463048086,0.2975310927121901,0.8247557335725371,0.4095102828050716,0.6491271947723822,True
MIR6859-1,11.891070400290243,0.15474997254342884,0.5736329361843618,0.2697717700325583,0.7873358421057348,,True
AL627309.7,31.10528469098176,0.39196000181285356,0.35748384401678457,1.0964411633507283,0.2728857582817594,,True
AL627309.5,11.665216608671438,0.1462913937039645,0.5416612775839872,0.2700791061832573,0.787099395863953,,True
WASH9P,85.70053957823231,-0.055656263577881934,0.22842690134113883,-0.24365021480006588,0.8075017342230718,0.9090271419863865,True
AP006222.1,13.23595689694223,0.13497355236700279,0.5729802820686137,0.2355640439836983,0.8137709770560898,,True
AL732372.2,46.516102049785395,0.24538532318822154,0.2876872663724509,0.8529585834033278,0.3936822722393236,0.6360704488667424,True
AL669831.3,16.621327854734787,-0.2872063356565243,0.45981084036355935,-0.6246184527303411,0.5322215057950169,,True
MTND2P28,913.03471179392,-0.17137824627586237,0.12559734409229031,-1.3645053365931985,0.1724085757639744,0.4105785691060328,True
MTCO1P12,802.5430522760947,-0.025032058833913032,0.18434179714966334,-0.1357915525451345,0.8919860692958597,0.9533655616325564,True
MTCO2P12,25.213971094021705,-0.5942080433055783,0.41946401121043425,-1.4165888548838566,0.15660316890599554,,True
MTATP6P1,6621.0118471040205,-0.25484299429411394,0.10914443760051935,-2.3349150895519504,0.019547856911852474,0.11682529622609411,True
MTCO3P12,48.1830588636518,-0.6229734974626464,0.3782539451033017,-1.646971579615677,0.09956388760597933,0.30029490004806464,True
AL669831.1,211.21255831366247,0.08511886050388302,0.14871428952766708,0.5723650415453005,0.5670746941345177,0.7649941696481761,True
LINC01409,47.305424108409404,-0.17496831998853904,0.2703470453283368,-0.6471989356348977,0.517503200096422,0.7305485661923922,True
AL669831.4,20.455522639422245,-0.04826202833046582,0.4859923169452492,-0.0993061549487477,0.9208951916336088,,True
LINC01128,226.43988589574516,-0.2408884347314874,0.14838353472361374,-1.6234175522248995,0.10450017508063357,0.30915370392083036,True
LINC00115,39.70984182954772,0.05402691465974648,0.3139893040203385,0.17206609896573713,0.8633855643284848,,True
AL669831.7,36.01000689546757,1.0902810316554867,0.3448972673376482,3.1611761962385203,0.001571334166133912,,True
AL645608.6,13.516059966256664,-0.07128452234681756,0.5106687702120944,-0.13959052619805043,0.8889835263291946,,True
AL645608.2,38.464936009919235,-0.3917703171885744,0.32692969514303033,-1.1983320053480506,0.2307877914965082,,True
LINC02593,8.954120217228809,-0.47187229590474006,0.617667682936537,-0.7639582075289233,0.4448921482023831,,True
NOC2L,1847.9924496726562,0.05892174376380658,0.13194493420686648,0.44656313725108715,0.655190516403503,0.8221444869037763,True
KLHL17,142.64084382359312,0.0670816506923517,0.2200491411832057,0.304848500347028,0.7604815405757297,0.8842764855137107,True
ISG15,98.42661315696144,0.2549681655119232,0.26540556167018053,0.96067378508357,0.33671621620225456,0.5879976687078874,True
AGRN,218.206576042476,1.040193766880352,0.20353303286133306,5.1106876965226355,3.2098822570675173e-07,3.72316893358758e-05,True
AL390719.1,26.27500636404269,0.6513848911864488,0.38229537910024003,1.703878536851611,0.08840378156898682,,True
AL645608.8,9.177757683075908,1.9813677935898135,0.7068694307753054,2.803018078482498,0.0050626831379483655,,True
C1orf159,188.9710754627887,0.23252314478112693,0.2402282952345765,0.9679257164693039,0.33308146988205267,0.584627790983828,True
TTLL10,33.71467630652771,-0.11980413360395496,0.31912879354590323,-0.3754099787511729,0.7073555847262737,,True
TNFRSF18,45.82466020613538,0.8643907232386424,0.3390618561246094,2.5493599696480405,0.010792084155797271,,True
TNFRSF4,27.584028947138876,0.8207400918710771,0.44909271467272693,1.827551561305521,0.06761688114764443,,True
SDF4,1591.444885977793,0.3111345297712411,0.11809342977010207,2.6346472481741032,0.00842247632044434,0.07268625810196436,True
B3GALT6,338.2234020793946,0.008805780772966707,0.15480846992715785,0.05688177641126547,0.9546393711233396,0.9806228119200832,True
C1QTNF12,16.01851235514329,0.7510900561481295,0.5933552486456831,1.2658353623103054,0.20557203181054318,,True
AL162741.1,12.90878245067423,0.6501972119815461,0.5709569240305448,1.1387850547316636,0.2547928168194499,,True
UBE2J2,576.5947416466588,0.1158314012175328,0.11376638462698603,1.0181513774681115,0.3086060222877509,0.5620338174527167,True
LINC01786,12.784170332626907,0.5949241699011246,0.5823566106553655,1.0215805213091271,0.30697948074037584,,True
SCNN1D,94.43885292923909,-0.005667807030174799,0.24344540008349502,-0.02328163534094667,0.9814256206189165,0.9922726984187085,True
ACAP3,512.8188301385861,0.22123057302192745,0.1771262049094543,1.248999678703775,0.21166519136575568,0.4589406644550247,True
PUSL1,87.79393591251988,-0.04625725453283626,0.24183312038540697,-0.1912775820744344,0.8483081237292662,0.9315694960747948,True
INTS11,1373.6017827429632,0.21043019670041693,0.12776238162491657,1.6470434726099241,0.0995491106258279,0.30029490004806464,True
AL139287.1,44.77497788575219,0.2979714628847665,0.27811469790707727,1.071397754693007,0.28399062200349134,,True
CPTP,73.9518578333479,0.297233730269128,0.28183901512963455,1.0546223706196693,0.29159806837227165,0.5471666410002859,True
DVL1,249.1323908703102,0.29216615270109286,0.215532386386968,1.3555556897910284,0.1752405782471932,0.413815209334939,True
AURKAIP1,687.0858717682058,0.12503475288220195,0.15323855437825393,0.8159483975133717,0.4145296499146359,0.6534785989863768,True
CCNL2,4542.485580609899,-0.03126808184901876,0.09365143066012294,-0.33387724702782146,0.7384721897855757,0.8703003250954001,True
MRPL20-AS1,479.6923861437906,0.12987465496795492,0.1426449713652639,0.9104748223853705,0.3625721539145276,0.6108160018015428,True
MRPL20,1248.4032761890207,-0.09672243743243933,0.10024997061781273,-0.9648126262418414,0.33463867061603947,0.5861508330006354,True
MRPL20-DT,130.11124793092242,0.16586949338864723,0.18198833020749985,0.9114292834025445,0.36206923013805115,0.6105627879244585,True
VWA1,19.764676412344425,0.34386458232287853,0.4846698753197787,0.7094820615702623,0.47802537950250623,,True
ATAD3B,801.7125829983067,0.06516519593141927,0.1552057231796871,0.41986335681690834,0.6745852778691257,0.8352101961656981,True
AL645728.2,11.773564944305688,-0.25718205774794334,0.5480289600533435,-0.4692855241133791,0.638865560999988,,True
ATAD3A,479.7112168255731,0.0940265222567259,0.18862109649346415,0.4984941981820362,0.6181357575127648,0.799988779018721,True
SSU72,2224.706660453478,0.010557792260613486,0.09542339577459896,0.11064154838455137,0.9119005988858568,0.9616044853403352,True
