,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,converged
AL627309.6,24.267230072207987,-0.3909375635710612,0.6959231817898811,-0.5617539030178423,0.5742837031482584,0.9999162221034856,True
AL627309.7,17.001003597065058,-0.3605403155635913,1.4196840837409204,-0.2539581303282306,0.7995279049838211,0.9999162221034856,True
WASH9P,25.352244092347725,-0.08180212770279666,0.7349547571427357,-0.11130226304108383,0.9113766609105445,0.9999162221034856,True
AP006222.1,10.207273314064123,0.5390448054142434,1.5149956866378622,0.3558061651056662,0.7219857317565148,0.9999162221034856,True
U6,18.923030614669255,0.5105386553280687,1.0346194818736894,0.4934554822063532,0.621690787902123,0.9999162221034856,True
MTND2P28,1898.9006175222453,-0.05668117336653044,0.2287805876331844,-0.24775342153334382,0.8043251956829459,0.9999162221034856,True
MTCO1P12,1690.1368590568538,-0.3285313761929814,0.8516802811447752,-0.38574496024657295,0.6996855615352092,0.9999162221034856,True
MTATP6P1,17560.06979932713,0.06556646300830439,0.17951783477460942,0.3652364852251324,0.714934885446711,0.9999162221034856,True
MTCO3P12,17.30914949868982,0.3967916949978309,0.7614571809714982,0.5210952170568381,0.6023004426856994,0.9999162221034856,True
AL669831.1,57.12404031106294,-0.5229493456860381,0.8699422519200289,-0.6011311032793831,0.5477526685162045,0.9999162221034856,True
LINC01409,85.31914878273588,0.31798619278951273,0.49588073295412777,0.6412553899708149,0.5213567675713675,0.9999162221034856,True
AL669831.4,10.142998790778893,0.12833336260289166,1.0993775728867128,0.1167327456625459,0.9070718403753446,0.9999162221034856,True
FAM87B,10.3787538246228,0.16498913932262715,1.4249928367152351,0.11578243417906944,0.9078249723705129,0.9999162221034856,True
LINC01128,269.6798197472848,-0.33104442445568594,0.4089490886763733,-0.8095003354260115,0.41822740996823016,0.9999162221034856,True
LINC00115,22.530103811581096,0.2752582059678216,0.9651391848191749,0.28520052889510744,0.7754905151814799,0.9999162221034856,True
AL669831.7,145.36850824401796,0.6167463853075259,0.5580715292618711,1.105138594192864,0.2690995395965401,0.9999162221034856,True
AL645608.6,9.512393473437804,1.1186848839710775,1.5670975797258397,0.7138578340263846,0.47531509323808474,0.9999162221034856,True
AL645608.2,52.65973824045702,0.6849509683119996,0.6496676352554055,1.0543098211175674,0.2917410937580601,0.9999162221034856,True
LINC02593,58.89161156564265,-0.7164445952524605,0.5059785762881889,-1.4159583603484371,0.15678769625517114,0.9999162221034856,True
SAMD11,11.763652302039516,-0.047801203274346366,1.1758098239295014,-0.04065385600759567,0.9675718487292632,0.9999162221034856,True
NOC2L,3173.232127269436,-0.3702254190895455,0.3237038554741012,-1.1437164334892094,0.2527412558761626,0.9999162221034856,True
KLHL17,178.9793333485653,0.768645307453405,0.46810020415075265,1.6420529208012504,0.10057903720476487,0.9999162221034856,True
ISG15,1204.744818351789,0.7084012846507217,0.3344242006970492,2.118271593904335,0.03415207291056661,0.9999162221034856,True
AGRN,102.19421239948915,-0.3750923908515846,0.8318256824510456,-0.45092667702485784,0.6520423958641117,0.9999162221034856,True
AL390719.1,33.374039634713014,1.6629175557623639,1.0941106747478029,1.5198805698022035,0.1285409946673091,0.9999162221034856,True
C1orf159,579.852827993045,0.21482468706488902,0.5325054432356322,0.4034225185747626,0.6866374236296098,0.9999162221034856,True
AL390719.3,14.79854080441323,0.5916997978579637,1.0489125643036703,0.5641078370061938,0.5726807448258415,0.9999162221034856,True
TTLL10-AS1,9.151640638386306,-6.445229877422405,2.6823805742334277,-2.402802174804866,0.016269986321318926,0.9999162221034856,True
TTLL10,51.03868318122943,1.179708411700413,0.8033286961022591,1.4685251721049473,0.14196162380956606,0.9999162221034856,True
TNFRSF18,426.04461664495466,-0.6480288395371357,0.34449601123329476,-1.8810924318606603,0.05995934632924415,0.9999162221034856,True
TNFRSF4,110.80581432814594,-0.28106770306078016,1.0923414259333615,-0.25730755639942815,0.7969413596321915,0.9999162221034856,True
SDF4,1668.5855963841873,-0.43720112951969825,1.603788171529288,-0.2726052837157455,0.7851566499125099,0.9999162221034856,True
B3GALT6,427.10796529742373,0.08505562059505475,0.3967007824856231,0.21440749388523644,0.8302292982718213,0.9999162221034856,True
C1QTNF12,7.93151795618905,0.4521096845889316,1.640507946638908,0.27559127983209053,0.7828620080773583,0.9999162221034856,True
UBE2J2,1436.196597770699,-0.11433832875779068,0.24329026361867287,-0.46996672639971215,0.6383787900963598,0.9999162221034856,True
SCNN1D,106.00751897620755,-0.6147344949542467,0.8769595096432783,-0.7009838974256667,0.4833130644093754,0.9999162221034856,True
ACAP3,295.2414114746259,-0.6066123238718005,1.5929576932238374,-0.380808810210229,0.7033451213769797,0.9999162221034856,True
PUSL1,342.5489096397144,-0.009541351536690173,0.4415595497292589,-0.021608300720798425,0.9827604120610117,0.9999162221034856,True
INTS11,2833.5920605134424,-0.3231276319488838,0.24820366630277488,-1.3018648626838243,0.19296258589230153,0.9999162221034856,True
AL139287.1,10.715467425493772,-0.5908525255238255,1.149112184526657,-0.5141817600404349,0.6071249189929953,0.9999162221034856,True
CPTP,158.27780093577226,-0.5807203395819586,0.7573286035594313,-0.7668010119419537,0.44319983463300194,0.9999162221034856,True
TAS1R3,5.461393295406772,-0.400045637837934,3.27415299483323,-0.122182939669962,0.9027541373879201,0.9999162221034856,True
DVL1,104.91930101960288,-0.06474412512266409,0.6477891370143457,-0.09994629644620034,0.9203869610853844,0.9999162221034856,True
MXRA8,8.030863391400526,-0.25810270139317915,1.3211617520699732,-0.19536040987319553,0.845110807761035,0.9999162221034856,True
AURKAIP1,3904.14872189622,0.09082437049910576,0.3075249789528233,0.29533981534891485,0.7677343040045983,0.9999162221034856,True
CCNL2,7227.006486363472,0.06577714400605898,0.26525689238586353,0.24797524925525544,0.8041535570433404,0.9999162221034856,True
MRPL20-AS1,831.9597025753061,-0.25010887977536256,0.2463200043149763,-1.0153819234898247,0.30992380640693007,0.9999162221034856,True
MRPL20,2792.8513965463912,0.23991909758361196,0.32367393882727286,0.7412369944051743,0.4585497562550598,0.9999162221034856,True
MRPL20-DT,13.994982302802304,-0.46022152173214403,1.421555267004474,-0.32374507865735735,0.7461310393999927,0.9999162221034856,True
ATAD3C,7.014415565653502,0.3941502914306772,1.4699250685976406,0.2681431182112638,0.7885891571302587,0.9999162221034856,True
ATAD3B,936.1141750520407,-0.3816896941928055,0.5122816754539117,-0.745077781387761,0.45622470005792903,0.9999162221034856,True
ATAD3A,921.6312579301336,0.0017919983915450851,0.33380676579345625,0.005368370492088493,0.9957166806414863,0.9999162221034856,True
SSU72,4727.8795167043845,0.19095516116713684,0.2472318828507313,0.772372717326381,0.4398937079126941,0.9999162221034856,True
AL645728.1,45.36464092394745,-0.5094410506819249,0.6486799398060628,-0.7853504007449862,0.43224815282282003,0.9999162221034856,True
FNDC10,248.6822827280378,-0.41911711571316607,0.3632182767805402,-1.1538987504376066,0.24854168154549017,0.9999162221034856,True
AL691432.4,25.456461974225803,0.559899949159919,1.1260047119580365,0.4972447656868998,0.6190164568658165,0.9999162221034856,True
AL691432.2,118.56746708068583,-0.0057409193739627875,0.8465778509944191,-0.006781324797500088,0.9945893271118474,0.9999162221034856,True
MIB2,209.49702404227548,-0.43063608145722126,1.446258282114731,-0.2977587660397295,0.765887287695205,0.9999162221034856,True
CDK11B,672.9354699115988,0.23036776641747111,0.33528319123090666,0.6870841498845637,0.4920297017659654,0.9999162221034856,True
SLC35E2B,647.9589881655875,-0.22764361765657262,0.3021374640908179,-0.753443861527038,0.4511832339657351,0.9999162221034856,True
AL691432.1,13.947066620449572,-0.4472461390813714,1.48023672005097,-0.30214501033724595,0.7625415215874786,0.9999162221034856,True
CDK11A,129.48227374516216,0.17702330876181344,0.37485865379200584,0.4722401549786193,0.6367553809765156,0.9999162221034856,True
AL031282.2,104.16793429093028,-0.4048551638369825,0.6155531134676752,-0.6577095541865744,0.5107247819042099,0.9999162221034856,True
SLC35E2A,445.1930560592761,-0.028119429802471955,0.2216744970079518,-0.12685008957734667,0.8990590501649627,0.9999162221034856,True
NADK,974.1836064058324,0.12912740800685552,0.27674078387836876,0.46660057183190146,0.6407856778051727,0.9999162221034856,True
GNB1,3907.214675780396,0.2199035457890933,0.18231486463834568,1.206174527926242,0.22775020322058726,0.9999162221034856,True
AL109917.1,8.078950391931594,2.2558766490764004,1.495042959809661,1.5089042319985264,0.13132325819559243,0.9999162221034856,True
TMEM52,7.995564426598561,0.9014869935627492,1.9706418288267802,0.45745857028694487,0.6473414741406458,0.9999162221034856,True
PRKCZ,62.42891399280423,0.4346860457469287,0.4469932121719654,0.9724667711054593,0.330818388099579,0.9999162221034856,True
PRKCZ-AS1,16.03490004253204,0.5733649905383497,1.3480890715286786,0.42531684489377014,0.670605715519477,0.9999162221034856,True
FAAP20,463.9025272248964,-0.06678662000543589,0.9546963952994146,-0.06995587323286172,0.9442287816052275,0.9999162221034856,True
SKI,210.47106792618035,0.032831848642731684,0.45747049667536277,0.07176823179054172,0.9427863549629998,0.9999162221034856,True
AL590822.3,26.55121275372699,-0.07779531011433553,1.1271724812175916,-0.06901810628866636,0.9449752071312548,0.9999162221034856,True
MORN1,266.09538731234994,0.14858637560362412,0.3832582223784499,0.3876925971255534,0.6982435347888434,0.9999162221034856,True
AL513477.1,18.05585356984799,-1.5869142144419577,1.2924820229725436,-1.2278037034451417,0.21952066509788803,0.9999162221034856,True
AL513477.2,26.409921800659006,0.5326268708652105,0.6716791993950121,0.7929780635531853,0.42779060355931997,0.9999162221034856,True
RER1,2687.2867740239594,-0.025896471341992088,0.23768546858011955,-0.10895269069956982,0.9132400142194876,0.9999162221034856,True
PEX10,323.13729887223633,-0.2685864451239566,0.6222196858126513,-0.43165854640739737,0.6659896000837703,0.9999162221034856,True
PANK4,789.9256396499733,-0.24641457786176016,0.32884634891543174,-0.7493304355497945,0.4536580678326102,0.9999162221034856,True
TNFRSF14-AS1,150.23942644791006,-0.24338899876498282,0.436236420082041,-0.5579291126568702,0.576892790874596,0.9999162221034856,True
TNFRSF14,2433.015200430715,-0.40220235599335064,0.3545799018661188,-1.134306693291412,0.25666592252593234,0.9999162221034856,True
PRXL2B,373.77207638813144,0.3242764296273169,0.4656183151572031,0.6964425991658726,0.48615169297857497,0.9999162221034856,True
TTC34,41.85481633048524,0.17515196023979407,0.5872102343672991,0.29827811231613643,0.7654909082283738,0.9999162221034856,True
PRDM16,56.31275349788513,-0.3284031137509142,0.636593122055393,-0.5158760004986958,0.6059410170449235,0.9999162221034856,True
AL512383.1,6.974988220421043,-1.7780949617837125,2.642188220049173,-0.6729630191715187,0.5009708180989242,0.9999162221034856,True
ARHGEF16,15.670874840696708,-1.3398928710798788,1.287055636914855,-1.0410527972914037,0.2978510451125568,0.9999162221034856,True
MEGF6,1074.383267694174,-0.5165396014684486,0.4606815942759709,-1.121250789887247,0.26218112592427467,0.9999162221034856,True
TPRG1L,432.3603231498198,0.2011048718625523,0.25007574171070385,0.8041758488322202,0.4212954246663092,0.9999162221034856,True
