,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,converged
WASH7P,63.23067138424918,0.3384509697179185,0.29688045556908027,1.1400244218473496,0.25427612674512956,0.6243676701091653,True
MIR6859-1,11.891070400290243,-0.8669152570099751,0.611896484075307,-1.4167678350367552,0.15655081666186654,,True
AL627309.7,31.10528469098176,0.5318206167325762,0.3557044620915531,1.4951193291347957,0.13488330216424213,0.4790094906707772,True
AL627309.5,11.665216608671438,-0.34365062346522374,0.5603294075269234,-0.6133010669241229,0.5396772880522565,,True
WASH9P,85.70053957823231,0.009129875441638555,0.22813036441431142,0.040020430708897804,0.9680768379896622,0.9908126657982852,True
AP006222.1,13.23595689694223,0.2475916132245686,0.5709365051163229,0.4336587536544439,0.6645362626983082,,True
AL732372.2,46.516102049785395,0.1800987622155932,0.28933074041895396,0.6224667380825428,0.5336350085966546,0.8223169792662154,True
AL669831.3,16.621327854734787,-0.48261327400073223,0.4673315872314888,-1.0326998798856577,0.3017443697792128,,True
MTND2P28,913.03471179392,-0.011277089749948899,0.12533070082870848,-0.08997866983414926,0.9283041650683344,0.9784280762398923,True
MTCO1P12,802.5430522760947,0.07557494681662043,0.18422618637865934,0.4102291227007399,0.6816378794302655,0.8922115429649478,True
MTCO2P12,25.213971094021705,-0.1713479436773757,0.4105856700449535,-0.4173256793365815,0.6764402079918739,0.8894575889548001,True
MTATP6P1,6621.0118471040205,-0.012506236179508023,0.10907373207450553,-0.11465855198724957,0.9087157679097898,0.973358737219068,True
MTCO3P12,48.1830588636518,0.2020754413498649,0.36761042957921863,0.5496999679284628,0.5825251788643744,0.8465823996029552,True
AL669831.1,211.21255831366247,-0.07581496578791991,0.1501036338688026,-0.5050841464250335,0.613499735835205,0.8618491481300331,True
LINC01409,47.305424108409404,-0.29374329131382837,0.2733064763698196,-1.0747761824580955,0.2824749463107128,0.6493385672728936,True
AL669831.4,20.455522639422245,-0.0030214447290626,0.4858114156746646,-0.006219377790591039,0.9950376864740349,0.9984844671436822,True
LINC01128,226.43988589574516,-0.260905599846464,0.14877944996604292,-1.7536400350049182,0.07949220647908228,0.3796603911930017,True
LINC00115,39.70984182954772,0.280442947487721,0.3108090166138105,0.9022999092596459,0.3668975737690344,0.7168191431887662,True
AL669831.7,36.01000689546757,1.0422926566912114,0.34617371008239467,3.0108948956381747,0.0026047899858307414,0.06040632014759862,True
AL645608.6,13.516059966256664,-0.5297650705425992,0.5275423037351827,-1.0042134380345966,0.3152757462631267,,True
AL645608.2,38.464936009919235,-0.20662032880308387,0.324180153549457,-0.6373626717761481,0.5238886369984075,0.817817907971221,True
LINC02593,8.954120217228809,-0.7705195292381476,0.633124100820062,-1.2170118437129822,0.22359970965938014,,True
NOC2L,1847.9924496726562,-0.04045387040970534,0.13205693310651279,-0.30633658875809705,0.7593483836095714,0.9227210522892303,True
KLHL17,142.64084382359312,-0.15370634588267207,0.22184680501605064,-0.6928490400010557,0.48840429293160303,0.7967121856810584,True
ISG15,98.42661315696144,0.565649070955434,0.2632172817280852,2.1489815077559156,0.03163586586042692,0.2475375924945408,True
AGRN,218.206576042476,0.8960099368419853,0.2042542798185102,4.3867376372144244,1.1506344187120783e-05,0.0010707496087505393,True
AL390719.1,26.27500636404269,0.656807968117418,0.38298923091933595,1.7149515315112163,0.08635411359163092,0.39156846665851264,True
AL645608.8,9.177757683075908,1.4162992509405976,0.722611974632244,1.9599720190928043,0.04999906084740196,,True
C1orf159,188.9710754627887,0.17489525528792607,0.24062654388221283,0.7268327611169018,0.46732841120501745,0.7866959271640139,True
TTLL10,33.71467630652771,-0.16606872889194224,0.3210534313393828,-0.5172619653966334,0.6049733010167926,0.8584101818405272,True
TNFRSF18,45.82466020613538,0.9664389206600145,0.3382596862567995,2.8570916367678376,0.0042754238568532,0.08165221248186307,True
TNFRSF4,27.584028947138876,0.6667308072556031,0.4519673884558114,1.475174590656974,0.14016561087006235,0.48641795126166526,True
SDF4,1591.444885977793,0.21999572130570547,0.11822239064569012,1.8608634126256822,0.062763467714764,0.34236195316227586,True
B3GALT6,338.2234020793946,0.01952604461165245,0.15489051519764285,0.12606352678688487,0.8996816384953212,0.9716402083394916,True
C1QTNF12,16.01851235514329,1.192456990753502,0.5853694460140255,2.0371015242994606,0.04163986919147639,,True
AL162741.1,12.90878245067423,1.2135315018843404,0.5572414845949247,2.1777479520687377,0.02942480676295883,,True
UBE2J2,576.5947416466588,-0.04071368729576264,0.11439326710433133,-0.35590982167359636,0.7219081001694218,0.9080896460932114,True
LINC01786,12.784170332626907,0.2373427741685625,0.5928115246984125,0.40036801627517027,0.6888854779247197,,True
SCNN1D,94.43885292923909,-0.3109887194126666,0.24683376834666781,-1.2599115651627366,0.20770126620895601,0.5751545677241939,True
ACAP3,512.8188301385861,0.107965503811063,0.17745354835654845,0.6084155814914074,0.5429118798292032,0.8261743638463358,True
PUSL1,87.79393591251988,-0.08939208771231119,0.24267010953277265,-0.36836876154390485,0.7125982870154608,0.9037854222889985,True
INTS11,1373.6017827429632,0.16242315201639645,0.1278502003368954,1.2704176574490975,0.20393589681318403,0.5706767769470635,True
AL139287.1,44.77497788575219,-0.0183594509853275,0.2842715228310281,-0.06458420738907573,0.9485050591334712,0.9849274636017942,True
CPTP,73.9518578333479,0.11798102658812185,0.2839755387703671,0.4154619341475238,0.6778037757718316,0.8901975161442334,True
DVL1,249.1323908703102,0.2109624489351004,0.2159552371847439,0.9768804483987934,0.32862834225031223,0.687580440359055,True
AURKAIP1,687.0858717682058,0.2253212565868347,0.15308548575699069,1.471865575450515,0.1410571812391427,0.48777406340920115,True
CCNL2,4542.485580609899,-0.012093658830836514,0.09365327853415374,-0.12913225271047146,0.8972530016826896,0.9708114015095977,True
MRPL20-AS1,479.6923861437906,0.09393427951808778,0.14284892324708431,0.65757779185784,0.5108094687940651,0.8108880705636087,True
MRPL20,1248.4032761890207,-0.08306441812641192,0.10027390194665628,-0.8283752453415101,0.4074580212831024,0.7482902529256809,True
MRPL20-DT,130.11124793092242,0.1368972795005547,0.18259742450832825,0.7497218532472282,0.45342224302383705,0.7788030767197578,True
VWA1,19.764676412344425,0.03512075690180307,0.49241821383328543,0.07132302566227508,0.9431406700647491,0.9826516958964961,True
ATAD3B,801.7125829983067,0.056616215068839064,0.15526424703204586,0.3646442510177744,0.7153769783620696,0.9047343753076993,True
AL645728.2,11.773564944305688,-0.1401803227555964,0.5454501213392858,-0.25699934287557,0.7971792803494445,,True
ATAD3A,479.7112168255731,-0.016268015736110496,0.18895144454673027,-0.08609627608370675,0.9313898838888717,0.9788943951070601,True
SSU72,2224.706660453478,-0.008088164774041723,0.09546866913425696,-0.08472061931299565,0.9324835030595067,0.9788943951070601,True
AL645728.1,32.97280484757883,-0.10301395493985609,0.36202032400819756,-0.2845529604507051,0.7759866539908142,0.9298410960600052,True
FNDC10,125.1565425337233,-0.097671971057195,0.18882057540061017,-0.5172739827212673,0.604964913245078,0.8584101818405272,True
AL691432.4,38.93209653010294,0.19836719969152133,0.3017269091989408,0.6574395376871401,0.5108983360395631,0.8108880705636087,True
AL691432.2,148.76378589838512,-0.04482914611626309,0.18265066577345238,-0.24543653277380414,0.8061184448107601,0.9400854468937744,True
MIB2,192.96869737788813,0.4137015266895357,0.2032278634365154,2.0356535747312443,0.04178515398420796,0.2819774132606366,True
CDK11B,739.3507808908892,0.002390544854595533,0.12937727056005885,0.01847731710714833,0.9852580728032129,0.9960656054073895,True
FO704657.1,13.115736984423357,0.32952713182929944,0.5214035589477694,0.6320001583692858,0.5273867737388463,,True
SLC35E2B,985.1052011446702,0.025313933756907447,0.0942618731740519,0.2685490209829162,0.7882767467994202,0.9346961408115787,True
CDK11A,138.40856051089412,-0.1208871662912205,0.18335692118470748,-0.6592997172407956,0.5097033239528014,0.8108880705636087,True
AL031282.2,103.20072602927858,0.09527167588921089,0.19658456213182235,0.4846345758591421,0.6279355827080567,0.8690923515881688,True
SLC35E2A,666.9436547404285,-0.0798379202066842,0.10469815277662074,-0.7625532837911935,0.44572985423914047,0.7738990032556657,True
NADK,883.7978084621745,-0.14934854739088707,0.12999371068456472,-1.1488905625079637,0.25060110963797866,0.6213988818416273,True
GNB1,7093.245376958297,-0.08260565027430479,0.07484547247029567,-1.103682661727988,0.26973081933685683,0.6367821116533069,True
CALML6,15.853817910093037,0.17871830064898933,0.4806959556231767,0.37179073083171255,0.7100486655136178,,True
